Variant,Room_ID,DATE,room_tournaments,Room_Net_Profit,Room_Gross_Revenue,Room_Total_Time,Player_Count,Avg_Score_In_Room,Max_Score_In_Room,Total_Coins_Spent_In_Room,Total_Coins_Claimed_In_Room,Avg_Player_Duration
B_Test_Group,6731,2024-07-31,t12,218,80,633.391,4,74,98,80,42,158.34775
A_Control_Group,6566,2024-07-29,t11,224,80,493.582,4,143.75,175,80,56,123.39550000000001
A_Control_Group,6574,2024-07-29,t6,210,80,421.207,4,135,178,80,70,105.30175000000001
A_Control_Group,6345,2024-07-27,t14,216,80,819.737,4,124,164,80,84,204.93425
B_Test_Group,6386,2024-07-27,t19,216,80,650.644,4,129.25,156,80,84,162.661
A_Control_Group,6261,2024-07-26,t18,216,80,548.715,4,137.5,189,80,84,137.17875
B_Test_Group,6262,2024-07-26,t13,216,80,869.213,4,135,167,80,84,217.30325
A_Control_Group,6285,2024-07-26,t4,216,80,708.445,4,157.75,220,80,84,177.11125
A_Control_Group,6175,2024-07-25,t15,238,80,517.531,4,130.5,155,80,42,129.38275000000002
A_Control_Group,6227,2024-07-25,t7,210,80,536.611,4,130.25,172,80,70,134.15275
B_Test_Group,6100,2024-07-24,t16,216,80,871.331,4,123.75,156,80,84,217.83275
B_Test_Group,5956,2024-07-22,t1,224,80,668.411,4,145,174,80,56,167.10275000000001
B_Test_Group,5784,2024-07-21,t1,-24,,0,3,126.25,170,80,84,179.67925
B_Test_Group,5728,2024-07-20,t12,216,80,524.879,4,142.5,156,80,84,131.21975
B_Test_Group,5741,2024-07-20,t5,232,80,637.501,4,132,157,80,28,159.37525
A_Control_Group,5562,2024-07-18,t18,216,80,499.296,4,129,151,80,84,124.824
A_Control_Group,5568,2024-07-18,t7,238,80,569.698,4,147.25,161,80,42,142.42450000000002
B_Test_Group,5589,2024-07-18,t12,216,80,802.712,4,125,161,80,84,200.678
A_Control_Group,5590,2024-07-18,t4,216,80,702.036,4,154.25,184,80,84,175.50900000000001
A_Control_Group,5368,2024-07-16,t7,216,80,917.066,4,85,114,80,84,229.2665
A_Control_Group,5414,2024-07-16,t6,210,80,484.509,4,86.25,142,80,70,121.12725
A_Control_Group,5270,2024-07-15,t6,216,80,707.49,4,140.75,203,80,84,176.8725
A_Control_Group,5281,2024-07-15,t14,216,80,822.977,4,135.75,160,80,84,205.74425
A_Control_Group,5323,2024-07-15,t14,216,80,534.767,4,143.75,169,80,84,133.69174999999998
A_Control_Group,5123,2024-07-13,t10,210,80,734.865,4,140,178,80,70,183.71625
B_Test_Group,5039,2024-07-12,t13,216,80,735.293,4,155.5,231,80,84,183.82325
B_Test_Group,5075,2024-07-12,t13,216,80,841.864,4,129,152,80,84,210.466
B_Test_Group,4973,2024-07-11,t9,216,80,626.288,4,135.75,153,80,84,156.572
A_Control_Group,4849,2024-07-10,t10,216,80,757.196,4,130,170,80,84,189.29899999999998
B_Test_Group,4886,2024-07-10,t8,224,80,688.257,4,185.5,203,80,56,172.06425
B_Test_Group,4754,2024-07-09,t20,224,80,726.925,4,138.75,185,80,56,181.73125000000002
B_Test_Group,4772,2024-07-09,t9,216,80,712.98,4,142.75,189,80,84,178.245
B_Test_Group,4573,2024-07-06,t19,238,80,693.871,4,111.25,129,80,42,173.46775000000002
A_Control_Group,4439,2024-07-05,t18,216,80,750.229,4,140,198,80,84,187.55725
B_Test_Group,4375,2024-07-04,t8,216,80,929.321,4,129.75,213,80,84,232.33025
A_Control_Group,4394,2024-07-04,t11,216,80,676.694,4,155.5,186,80,84,169.1735
A_Control_Group,4255,2024-07-03,t6,238,80,544.727,4,118,202,80,42,136.18175000000002
B_Test_Group,4266,2024-07-03,t13,216,80,753.617,4,151.25,205,80,84,188.40425
B_Test_Group,4189,2024-07-02,t17,216,80,776.391,4,162.25,194,80,84,194.09774999999996
B_Test_Group,4197,2024-07-02,t17,216,80,854.369,4,128.5,173,80,84,213.59225
B_Test_Group,4209,2024-07-02,t13,216,80,759.742,4,134,159,80,84,189.9355
B_Test_Group,4132,2024-07-01,t19,210,80,670.738,4,135.5,199,80,70,167.6845
B_Test_Group,4046,2024-06-30,t20,216,80,609.41,4,147.75,192,80,84,152.3525
A_Control_Group,4074,2024-06-30,t3,246,80,424.28,4,172,211,80,14,106.07
A_Control_Group,3952,2024-06-29,t2,216,80,923.124,4,112.5,155,80,84,230.781
A_Control_Group,3854,2024-06-28,t4,216,80,695.766,4,135.75,161,80,84,173.9415
B_Test_Group,3871,2024-06-28,t17,216,80,513.883,4,117.25,160,80,84,128.47075
B_Test_Group,3909,2024-06-28,t8,216,80,784.905,4,161.25,206,80,84,196.22625000000002
B_Test_Group,3820,2024-06-27,t20,238,80,709.751,4,148.75,194,80,42,177.43775
A_Control_Group,3498,2024-06-23,t18,216,80,650.274,4,129,156,80,84,162.5685
B_Test_Group,3386,2024-06-22,t12,210,80,904.394,4,113.5,190,80,70,226.0985
B_Test_Group,3431,2024-06-22,t5,216,80,850.506,4,140.5,203,80,84,212.6265
A_Control_Group,3302,2024-06-21,t18,238,80,691.989,4,131,180,80,42,172.99725
A_Control_Group,3305,2024-06-21,t14,216,80,656.084,4,168,231,80,84,164.021
B_Test_Group,3327,2024-06-21,t8,224,80,510.619,4,175.25,194,80,56,127.65475
A_Control_Group,3288,2024-06-20,t2,238,80,780.813,4,113,127,80,42,195.20324999999997
B_Test_Group,3143,2024-06-19,t9,216,80,455.847,4,114.25,142,80,84,113.96175
A_Control_Group,3174,2024-06-19,t14,216,80,524.663,4,156,187,80,84,131.16575
A_Control_Group,3176,2024-06-19,t10,216,80,518.875,4,86,154,80,84,129.71875
B_Test_Group,3205,2024-06-19,t16,216,80,620.769,4,148.75,224,80,84,155.19225
A_Control_Group,2995,2024-06-18,t6,216,80,584.279,4,141.5,213,80,84,146.06975
B_Test_Group,3083,2024-06-18,t12,224,80,823.266,4,153.25,252,80,56,205.8165
B_Test_Group,3113,2024-06-18,t13,216,80,779.356,4,110.25,135,80,84,194.839
B_Test_Group,3131,2024-06-18,t19,238,80,296.965,4,145,186,80,42,74.24125
A_Control_Group,3018,2024-06-17,t14,218,80,647.026,4,107,151,80,42,161.75650000000002
B_Test_Group,2937,2024-06-16,t12,216,80,726.122,4,95.5,146,80,84,181.53050000000002
B_Test_Group,2951,2024-06-16,t1,238,80,535.007,4,110.75,168,80,42,133.75175000000002
A_Control_Group,2980,2024-06-16,t2,224,80,711.557,4,138.75,169,80,56,177.88925
B_Test_Group,2883,2024-06-15,t17,224,80,737.999,4,139,181,80,56,184.49975
A_Control_Group,2789,2024-06-14,t10,216,80,809.345,4,133.5,199,80,84,202.33625
A_Control_Group,2719,2024-06-13,t7,216,80,868.89,4,154,221,80,84,217.22249999999997
B_Test_Group,2634,2024-06-12,t5,216,80,473.514,4,129.75,187,80,84,118.3785
B_Test_Group,2673,2024-06-12,t20,238,80,519.186,4,135.75,176,80,42,129.79649999999998
A_Control_Group,2562,2024-06-11,t4,216,80,876.464,4,115.75,154,80,84,219.11599999999999
A_Control_Group,2447,2024-06-09,t18,216,80,673.562,4,108.5,132,80,84,168.3905
A_Control_Group,2460,2024-06-09,t6,216,80,782.242,4,128.5,182,80,84,195.5605
B_Test_Group,2478,2024-06-09,t8,216,80,689.036,4,121.75,133,80,84,172.25900000000001
B_Test_Group,2480,2024-06-09,t17,238,80,599.009,4,165.75,197,80,42,149.75225
A_Control_Group,2352,2024-06-08,t2,238,80,534.349,4,125,177,80,42,133.58725
A_Control_Group,2367,2024-06-08,t3,224,80,476.718,4,108.75,147,80,56,119.17950000000002
B_Test_Group,2373,2024-06-08,t1,216,80,555.962,4,151.25,209,80,84,138.9905
B_Test_Group,2133,2024-06-04,t13,224,80,365.481,4,139,191,80,56,91.37025
